相機序號,出廠時間,到期時間,相機型號,出貨批次
CAM_DK_001,2024-10-27,2025-10-27,Model-A1,Batch-2024-Q4-001
CAM_DK_002,2024-10-27,2025-10-27,Model-A2,Batch-2024-Q4-001
CAM_DK_003,2024-10-27,2025-10-27,Model-B1,Batch-2024-Q4-002
CAM_DK_004,2024-10-27,2025-10-27,Model-B2,Batch-2024-Q4-002
CAM_DK_005,2024-10-27,2025-10-27,Model-C1,Batch-2024-Q4-003
CAM_DUIXIN_001,2024-10-27,2025-10-27,Model-X1,Batch-2024-Q4-004
CAM_DUIXIN_002,2024-10-27,2025-10-27,Model-X2,Batch-2024-Q4-004
CAM_DUIXIN_003,2024-10-27,2025-10-27,Model-Y1,Batch-2024-Q4-005
CAM_DUIXIN_004,2024-10-27,2025-10-27,Model-Y2,Batch-2024-Q4-005
CAM_DUIXIN_005,2024-10-27,2025-10-27,Model-Z1,Batch-2024-Q4-006
